1,Zagreb Discovery,"Explore the hidden gems of Zagreb, the vibrant capital of Croatia. Discover its rich history and enjoy the local cuisine.",2,6,0,300.0
2,Dubrovnik Adventure,Embark on an exciting adventure in the breathtaking city of Dubrovnik. Explore its medieval walls and indulge in the beauty of the Adriatic Sea.,4,10,0,500.0
3,Zadar Sunset Cruise,Experience the magic of Zadar with a mesmerizing sunset cruise. Enjoy the beautiful coastline and witness the famous Sea Organ.,2,8,4,200.0
4,Pula Roman Heritage,Immerse yourself in the rich Roman heritage of Pula. Explore the ancient amphitheater and stroll through the charming streets of the old town.,2,4,1,250.0
5,Rijeka Coastal Escape,Escape to the picturesque coastal city of Rijeka. Relax on the stunning beaches and indulge in delicious seafood cuisine.,2,6,0,350.0
6,Šibenik Island Hopping,Embark on an island-hopping adventure from Šibenik. Discover the hidden gems of the Adriatic islands and soak up the sun and crystal-clear waters.,4,8,0,400.0
7,Osijek Countryside Retreat,"Experience the tranquility of the Osijek countryside. Enjoy the picturesque landscapes, visit local vineyards, and taste traditional delicacies.",6,12,7,280.0
8,Los Angeles Hollywood Glam,"Indulge in the glitz and glamour of Hollywood in Los Angeles. Visit iconic landmarks, stroll along the Walk of Fame, and experience the vibrant nightlife.",2,4,1,800.0
9,New York City Explorer,"Immerse yourself in the energy of New York City. Discover iconic attractions, enjoy world-class shopping, and savor diverse culinary delights.",4,10,1,1000.0
10,Miami Beach Getaway,"Escape to the tropical paradise of Miami Beach. Relax on the pristine beaches, experience vibrant nightlife, and enjoy water sports and shopping.",2,6,5,600.0
11,Singapore Urban Adventure,"Embark on an urban adventure in the dynamic city-state of Singapore. Explore futuristic architecture, savor diverse street food, and visit world-class attractions.",2,8,3,700.0
12,Sydney Harbor Cruise,"Experience the beauty of Sydney on a harbor cruise. Sail past iconic landmarks, enjoy panoramic views, and soak up the vibrant atmosphere of the city.",4,12,0,450.0
13,Tel Aviv Beach Retreat,"Relax and unwind on the stunning beaches of Tel Aviv. Enjoy vibrant nightlife, explore the ancient city of Jaffa, and indulge in delicious Mediterranean cuisine.",2,6,0,550.0
14,Jerusalem Holy Pilgrimage,"Embark on a sacred pilgrimage to Jerusalem. Visit holy sites, experience the spiritual atmosphere, and explore the rich history of this ancient city.",4,10,2,400.0
15,Warsaw Cultural Immersion,"Immerse yourself in the vibrant cultural scene of Warsaw. Explore historic landmarks, visit world-class museums, and indulge in traditional Polish cuisine.",2,4,4,300.0
16,Madrid Tapas Tour,"Embark on a culinary adventure in the vibrant city of Madrid. Sample delicious tapas, explore the art scene, and experience the lively Spanish culture.",4,8,0,350.0
17,Barcelona Gaudi Experience,"Discover the architectural wonders of Barcelona inspired by Gaudi. Visit iconic landmarks such as Sagrada Familia and Park Güell, and enjoy the vibrant atmosphere.",2,6,1,450.0
18,London Royal Retreat,"Experience the elegance of London on a royal retreat. Visit historic palaces, explore world-class museums, and indulge in traditional afternoon tea.",4,12,0,600.0
19,Prague Bohemian Escape,"Escape to the bohemian charm of Prague. Wander through cobbled streets, visit fairytale-like castles, and enjoy the lively nightlife and local beer.",2,4,0,250.0
